province;red;green;blue;x;x
162;23;100;128;Agawa;x
163;151;102;192;Takaoka;x
164;23;104;255;Bingo-Miyoshi;x
165;151;106;0;Mitsugi;x
166;23;108;64;Numakuma;x
167;151;110;128;Fukatsu;x
168;24;112;192;Yasuna;x
169;152;114;255;Jinseki;x
170;24;116;0;Nuka;x
171;152;118;64;Eso;x
172;24;120;128;Honji;x
173;152;122;192;Ashida;x
174;24;124;255;Sera;x
175;153;126;0;Mitani;x
176;25;128;64;Konu;x
177;153;130;128;Mikami;x
178;25;132;192;Inaba-Iwai;x
179;153;134;255;Homi;x
180;25;136;0;Hatto;x
181;153;138;64;Chizu;x
182;26;140;128;Omi;x
183;154;142;192;Takakusa;x
184;26;144;255;Inaba-Keta;x
185;154;146;0;Yakami;x
186;26;148;64;Kawamura;x
187;154;150;128;Hoki-Kume;x
188;26;152;192;Yabase;x
189;155;154;255;Aseri;x
190;27;156;0;Hino;x
191;155;158;64;Aimi;x
192;27;32;128;Aika;x
193;155;34;192;Nita;x
194;27;36;255;Tatenui;x
195;155;38;0;Nogi;x
196;28;40;64;Ohara;x
197;156;42;128;Ou;x
198;28;44;192;Izumo;x
199;156;46;255;Shimane;x
200;28;248;0;Tetta;x
201;156;50;64;Kato;x
202;28;52;128;Shitsuki;x
203;157;54;192;Bitchu-Oda;x
204;29;56;255;Asaguchi;x
205;157;58;0;Kuboya;x
206;29;60;64;Tsu;x
207;157;62;128;Kaya;x
208;29;64;192;Kojima;x
209;157;66;255;Aga;x
210;30;68;0;Tsudaka;x
211;158;70;64;Bizen-Mino;x
212;30;72;128;Joto;x
213;158;74;192;Oku;x
214;30;76;255;Bizen-Wake;x
215;158;78;0;Iwanashi;x
216;30;80;64;Akasakaa;x
217;159;82;128;Mimasaka-Kume;x
218;31;84;192;Tomanishi;x
219;159;86;255;Katsuta;x
220;31;88;0;Tomahigashi;x
221;159;90;64;Mashima;x
222;31;92;128;Oba;x
223;159;94;192;Aida;x
224;32;96;255;Ako;x
225;160;98;0;Issai;x
226;32;100;64;Shiso;x
227;160;102;128;Sayo;x
228;32;104;192;Harima-Shikama;x
229;160;106;255;Futakata;x
230;32;108;0;Shitsumi;x
231;161;110;64;Shozu;x
232;33;112;128;Awaji-Mihara;x
233;161;114;192;Tsuna;x
234;33;116;255;Arida;x
235;161;118;0;Nagusa;x
236;33;120;64;Kii-Ama;x
237;161;122;128;Kii-Ito;x
238;34;124;192;Naga;x
239;162;126;255;Hidaka;x
240;34;128;0;Tajima-Keta;x
241;162;130;64;Izushi;x
242;34;132;128;Kinosaki;x
243;162;134;192;Mikumi;x
244;34;136;255;Asago;x
245;163;138;0;Tajima-Yabu;x
246;35;140;64;Harima-Taka;x
247;163;142;128;Harima-Kanzaki;x
248;35;144;192;Harima-Kamo;x
249;163;146;255;Innami;x
250;35;148;0;Itto;x
251;163;150;64;Akashi;x
252;36;152;128;Kako;x
253;164;154;192;Yatabe;x
254;36;156;255;Ubara;x
255;164;158;0;Muko;x
256;36;32;64;Harima-Mino;x
257;164;34;128;Arima;x
258;36;36;192;Tanba-Taki;x
259;165;38;255;Hikami;x
260;37;40;0;Kawabe;x
261;165;42;64;Kumano;x
262;37;44;128;Takeno;x
263;165;46;192;Taniha;x
264;37;48;255;Yosa;x
265;165;50;0;Amata;x
266;38;52;64;Kasa;x
267;166;54;128;Oi;x
268;38;56;192;Ikaruga;x
269;166;58;255;Funai;x
270;38;60;0;Nose;x
271;166;62;64;Onyu;x
272;38;64;128;Mikata;x
273;167;66;192;Teshima;x
274;39;68;255;Hine;x
275;167;70;0;Minami;x
276;39;72;64;Izumi;x
277;167;74;128;Otori;x
278;39;76;192;Sumiyoshi;x
279;167;78;255;Nishinari;x
280;40;80;0;Shimashimo;x
281;168;82;64;Kudara;x
282;40;84;128;Higashinari;x
283;168;86;192;Shimakami;x
284;40;88;255;Kuwada;x
285;168;90;0;Kadono;x
286;40;92;64;Otagi;x
287;169;94;128;Kuse;x
288;41;96;192;Yamashiro-Kii;x
289;169;98;255;Uji;x
290;41;100;0;Otokuni;x
291;169;102;64;Sagara;x
292;41;104;128;Yamashiro-Tsuzuki;x
293;169;106;192;Katano;x
294;42;108;255;Manda;x
295;170;110;0;Sarara;x
296;42;112;64;Nishikibe;x
297;170;114;128;Yakami;x
298;42;116;192;Tanboku;x
299;170;118;255;Shibukawa;x
300;42;120;0;Tannan;x
301;171;122;64;Kawachi;x
302;43;124;128;Wakae;x
303;171;126;192;Shiki;x
304;43;128;255;Takayasu;x
305;171;130;0;Ogata;x
306;43;132;64;Furuichi;x
307;171;134;128;Kawachi-Ishikawa;x
308;44;136;192;Soejimo;x
309;172;138;255;Yamato-Heguri;x
310;44;140;0;Hirose;x
311;172;142;64;Shikige;x
312;44;144;128;Katsuge;x
313;172;146;192;Oshimi;x
314;44;148;255;Katsujo;x
315;173;150;0;Uchi;x
316;45;152;64;Shikijo;x
317;173;154;128;Yamato-Yamabe;x
318;45;156;192;Soekami;x
319;173;158;255;Takaichi;x
320;45;32;0;Toichi;x
321;173;34;64;Uda;x
322;46;36;128;Yoshino;x
323;174;38;192;Nabari;x
324;46;40;255;Iga;x
325;174;42;0;Iga-Yamada;x
326;46;44;64;Ahai;x
327;174;46;128;Shiga;x
328;46;48;192;Takashima;x
329;175;50;255;Kurita;x
330;47;52;0;Omi-Yasu;x
331;175;54;64;Ika;x
332;47;56;128;Azai;x
333;175;58;192;Sakata;x
334;47;60;255;Inukami;x
335;175;62;0;Gamo;x
336;48;244;64;Echi;x
337;176;66;128;Omi-Kanzaki;x
338;48;68;192;Koga;x
339;176;70;255;Suki;x
340;48;72;0;Oki-Ochi;x
341;176;74;64;Oki-Ama;x
342;48;76;128;Chibu;x
343;177;78;192;Ise-Taki;x
344;49;80;255;Watarai;x
345;177;82;0;Ago;x
346;49;84;64;Toshi;x
347;177;86;128;Ichishi;x
348;49;88;192;Iino;x
349;177;90;255;Iitaka;x
350;50;92;0;Suzuka;x
351;178;94;64;Anki;x
352;50;96;128;Ise-Ano;x
353;178;98;192;Kawawa;x
354;50;100;255;Mie;x
355;178;102;0;Asake;x
356;50;104;64;Kuwana;x
357;179;106;128;Inabe;x
358;51;108;192;Ishizu;x
359;179;110;255;Fuwa;x
360;51;112;0;Tagi;x
361;179;114;64;Anbachi;x
362;51;116;128;Mino-Atsumi;x
363;179;118;192;Mino-Mushiroda;x
364;52;120;255;Katagata;x
365;180;122;0;Nakashima;x
366;52;124;64;Haguri;x
367;180;126;128;Kasugai;x
368;52;128;192;Niwa;x
369;180;130;255;Owari-Yamada;x
370;52;132;0;Aichi;x
371;181;134;64;Owari-Ama;x
372;53;136;128;Chita;x
373;181;138;192;Aomi;x
374;53;140;255;Hazu;x
375;181;142;0;Suzu;x
376;53;144;64;Fugeshi;x
377;181;146;128;Noto;x
378;54;148;192;Hakui;x
379;182;150;255;Kaga;x
380;54;152;0;Kaga-Ishikawa;x
381;182;154;64;Nomi;x
382;54;156;128;Enuma;x
383;182;158;192;Tonami;x
384;54;32;255;Nei;x
385;183;34;0;Imizu;x
386;55;36;64;Araki;x
387;183;38;128;Sakai;x
388;55;40;192;Asuwa;x
389;183;42;255;Imadate;x
390;55;44;0;Nyu;x
391;183;46;64;Tsuruga;x
392;56;48;128;Echizen-Ono;x
393;184;50;192;Niikawa;x
394;56;52;255;Hida-Ono;x
395;184;54;0;Gujo;x
396;56;56;64;Mashita;x
397;184;58;128;Ena;x
398;56;60;192;Mino-Kamo;x
399;185;62;255;Toki;x
400;57;64;0;Kani;x
401;185;66;64;Kakami;x
402;57;68;128;Mugi;x
403;185;70;192;Mino-Yamagata;x
404;57;72;255;Motosu;x
405;185;74;0;Ikeda;x
406;58;76;64;Mino-Ono;x
407;186;78;128;Mikawa-Kamo;x
408;58;80;192;Shitara;x
409;186;82;255;Hoi;x
410;58;84;0;Yana;x
411;186;86;64;Mikawa-Atsumi;x
412;58;88;128;Nukata;x
413;187;90;192;Haibara;x
414;59;92;255;Totomi-Yamaga;x
415;187;94;0;Saya;x
416;59;96;64;Shuchi;x
417;187;98;128;Kiko;x
418;59;100;192;Yamana;x
419;187;102;255;Iwata;x
420;60;104;0;Totomi-Toyoda;x
421;188;106;64;Aratama;x
422;60;108;128;Nagakami;x
423;188;110;192;Nagashimo;x
424;60;112;255;Inasa;x
425;188;114;0;Hamana;x
426;60;116;64;Fuchi;x
427;189;118;128;Udo;x
428;61;120;192;Mashizu;x
429;189;122;255;Suruga-Shida;x
430;61;124;0;Abe;x
431;189;126;64;Ihara;x
432;61;128;128;Fuji;x
433;189;130;192;Suruga;x
434;62;132;255;Tagata;x
435;190;134;0;Izu-Naka;x
436;62;136;64;Izu-Kamo;x
437;190;138;128;Tsukama;x
438;62;140;192;Ina;x
439;190;142;255;Suwa;x
440;62;144;0;Saku;x
441;191;146;64;Chiisagata;x
442;63;148;128;Azumi;x
443;191;150;192;Hanishina;x
444;63;152;255;Sarashina;x
445;191;154;0;Minochi;x
446;63;156;64;Takai;x
447;191;158;128;Kai-Koma;x
448;64;32;192;Kai-Yatsushiro;x
449;192;34;255;Yamanashi;x
450;64;36;0;Tsuru;x
451;192;38;64;Ashinoshimo;x
452;64;40;128;Ashinokami;x
453;192;42;192;Aiko;x
454;64;44;255;Yorogi;x
455;193;46;0;Sagami-Osumi;x
456;65;48;64;Koza;x
457;193;50;128;Awa-Heguri;x
458;65;52;192;Nagasa;x
459;193;54;255;Asai;x
460;65;56;0;Awa;x
461;193;58;64;Miura;x
462;66;60;128;Isumi;x
463;194;62;192;Ahiru;x
464;66;64;255;Amaha;x
465;194;66;0;Susu;x
466;66;68;64;Moda;x
467;194;70;128;Kazusa-Unakami;x
468;66;72;192;Kazusa-Habu;x
469;195;74;255;Nagara;x
470;67;76;0;Ichihara;x
471;195;78;64;Kazusa-Yamabe;x
472;67;80;128;Musha;x
473;195;82;192;Hitachi-Taka;x
474;67;84;255;Kuji;x
475;195;86;0;Hitachi-Naka;x
476;68;88;64;Ibaraki;x
477;196;90;128;Makabe;x
478;68;92;192;Niihari;x
479;196;94;255;Sosa;x
480;68;96;0;Shimosa-Unakami;x
481;196;98;64;Kashima;x
482;68;100;128;Hitachi-Namekata;x
483;197;102;192;Tsukuba;x
484;69;104;255;Hitachi-Kawachi;x
485;197;106;0;Hitachi-Shida;x
486;69;108;64;Tsuga;x
487;197;110;128;Shimotsuke-Kawachi;x
488;69;112;192;Shioya;x
489;197;114;255;Nasu;x
490;70;116;0;Haga;x
491;198;118;64;Samukawa;x
492;70;120;128;Shimotsuke-Aso;x
493;198;122;192;Ashikaga;x
494;70;124;255;Yanada;x
495;198;126;0;Tone;x
496;70;128;64;Agatsuma;x
497;199;130;128;Kanra;x
498;71;132;192;Usui;x
499;199;134;255;Kataoka;x
500;71;136;0;Midono;x
501;199;138;64;Tako;x
502;71;140;128;Gunma;x
503;199;142;192;Nawa;x
504;72;144;255;Seta;x
505;200;146;0;Sai;x
506;72;148;64;Oura;x
507;200;150;128;Nitta;x
508;72;152;192;Kozuke-Yamada;x
509;200;154;255;Chichibu;x
510;72;156;0;Tama;x
511;201;158;64;Musashi-Koma;x
512;73;32;128;Iruma;x
513;201;34;192;Hiki;x
514;73;36;255;Osato;x
515;201;38;0;Yokomi;x
516;73;40;64;Obusuma;x
517;201;42;128;Hara;x
518;74;44;192;Hanzawa;x
519;202;46;255;Musashi-Kami;x
520;74;48;0;Musashi-Naka;x
521;202;50;64;Kodama;x
522;74;52;128;Saitama;x
523;202;54;192;Musashi-Adachi;x
524;74;56;255;Niikura;x
525;203;58;0;Yuki;x
526;75;60;64;Shimosa-Toyoda;x
527;203;62;128;Katori;x
528;75;64;192;Shimosa-Habu;x
529;203;66;255;Chiba;x
530;75;68;0;Inba;x
531;203;70;64;Soma;x
532;76;72;128;Sashima;x
533;204;74;192;Katsushika;x
534;76;76;255;Musashi-Toshima;x
535;204;78;0;Ebara;x
536;76;80;64;Kamakura;x
537;204;82;128;Tachibana;x
538;76;84;192;Kuragi;x
539;205;86;255;Musashi-Tsuzuki;x
540;77;88;0;Aizu;x
541;205;90;64;Yama;x
542;77;92;128;Shirakawa;x
543;205;94;192;Iwase;x
544;77;96;255;Kikuta;x
545;205;98;0;Iwaki;x
546;78;100;64;Shineha;x
547;206;102;128;Asaka;x
548;78;104;192;Mutsu-Adachi;x
549;206;106;255;Mutsu-Namekata;x
550;78;108;0;Uta;x
551;206;110;64;Date;x
552;78;112;128;Shinobu;x
553;207;114;192;Kubiki;x
554;79;116;255;Uonuma;x
555;207;118;0;Mishima;x
556;79;120;64;Koshi;x
557;207;122;128;Kanbara;x
558;79;124;192;Nutari;x
559;207;126;255;Iwafune;x
560;80;128;0;Sawata;x
561;208;130;64;Hamochi;x
562;80;132;128;Sado-Kamo;x
563;208;134;192;Okitama;x
564;80;136;255;Dewa-Tagawa;x
565;208;138;0;Akumi;x
566;80;140;64;Kushibiki;x
567;209;142;128;Mogami;x
568;81;144;192;Murayama;x
569;209;146;255;Yuri;x
570;81;148;0;Hiraka;x
571;209;150;64;Ogachi;x
572;81;152;128;Dewa-Yamamoto;x
573;209;154;192;Dewa-Toshima;x
574;82;156;255;Akita;x
575;210;158;0;Hiyama;x
576;82;32;64;Karita;x
577;210;34;128;Shibata;x
578;82;36;192;Watari;x
579;210;38;255;Igu;x
580;82;40;0;Natori;x
581;211;42;64;Miyagi;x
582;83;44;128;Mutsu-Kami;x
583;211;46;192;Kurokawa;x
584;83;48;255;Shita;x
585;211;50;0;Mutsu-Shikama;x
586;83;52;64;Tamatsukuri;x
587;211;54;128;Kurihara;x
588;84;56;192;Mutsu-Oda;x
589;212;58;255;Mutsu-Nagaoka;x
590;84;60;0;Mono;x
591;212;62;64;Oshika;x
592;84;64;128;Toda;x
593;212;66;192;Niita;x
594;84;68;255;Toyoma;x
595;213;70;0;Kesen;x
596;85;72;64;Mutsu-Iwai;x
597;213;74;128;Isawa;x
598;85;76;192;Waga;x
599;213;78;255;Hei;x
600;85;80;0;Esashi;x
601;213;82;64;Iwate;x
602;86;84;128;Shiba;x
603;214;86;192;Hienuki;x
604;86;88;255;Kazuno;x
605;214;90;0;Tsugaru;x
606;86;92;64;Nukanobu;x
607;214;94;128;Oshima;x
608;86;96;192;Shiribeshi;x
609;215;98;255;Iburi;x
610;87;100;0;Ishikari;x
611;215;102;64;Teshio;x
612;87;104;128;Kitami;x
613;215;106;192;Hidaka;x
614;87;108;255;Tokachi;x
615;215;110;0;Kushiro;x
616;88;112;64;Nemuro;x
617;216;114;128;Muro;x
618;88;116;192;Asukabe;x
619;216;118;255;Kiso;x
620;88;120;0;Shikito;x
621;216;122;64;Jinto;x
622;88;124;128;Kato;x
623;217;126;192;Mimasaka-Yoshino;x
624;89;128;255;Tomaminami;x
625;217;130;0;Tomakita;x
626;89;132;64;Bitchu-Kato;x
627;217;134;128;Anpoku;x
628;89;136;192;Aki-Sato;x
629;217;138;255;Tsukui;x
630;90;140;0;Kariwa;x
631;218;142;64;Minami Naka;x #
632;90;144;128;Kaisai;x
633;218;146;192;Higashi Morokata;x
634;90;148;255;Nishi Morokata;x
635;218;150;0;Minami Morokata;x
636;90;152;64;Nishi Usuki;x
637;219;154;128;Chiran;x
638;91;156;192;Nisho So;x
639;219;158;255;Higashi Sonoki;x
640;91;32;0;Kita Muro;x
641;219;34;64;Shimoina;x
642;91;36;128;Kamitakai;x
643;219;38;192;Kita Saku;x
644;92;40;255;Minami Azumi;x
645;220;42;0;Kaminiikawa;x
646;92;44;64;Nishi Kubiki;x
647;220;46;128;Higashi Kubiki;x
648;92;48;192;Kita Uonuma;x
649;220;50;255;Minami Uonuma;x
650;92;52;0;Higashi Kanbara;x
651;221;54;64;Minami Kanbara;x
652;93;56;128;Nishi Kanbara;x
653;221;58;192;Onuma;x
654;93;60;255;Kawanuma;x
655;221;62;0;Ishikawa;x
656;93;64;64;Iwasaki;x
657;221;66;128;Naraha;x
658;94;68;192;Minami Akita;x
659;222;70;255;Nishi Tsugaru;x
660;94;72;0;Minami Tsugaru;x
661;222;74;64;Kita Tsugaru;x
662;94;76;128;Higashi Tsugaru;x
663;222;78;192;Sannohe;x
664;94;80;255;Kunohe;x
665;223;82;0;Ninohe;x
666;95;84;64;Kita Iwate;xtr
667;223;86;128;Kita Hei;x
668;95;88;192;Higashi Hei;x
669;223;90;255;Minami Hei;x
670;95;92;0;Nishi Hei;x
671;223;94;64;Motoyoshi;x
672;96;96;128;Nishi Okitama;x
673;224;98;192;Minami Okitama;x
674;96;100;255;Nishi Mogami;x
675;224;102;0;Kita Mogami;x
676;96;104;64;Yoshida;x
677;224;106;128;Nakasai;x
678;96;108;192;Minami Tama;x
679;225;110;255;Nishi Tama;x
680;97;112;0;Echizen-Yoshida;x
681;225;114;64;Kita Shitara;x
682;97;116;128;Higashi Kamo;x
683;225;118;192;Kyoto;x
684;97;120;255;Osaka;x
685;225;122;0;Kita Matsura;x
686;98;124;64;Higo Mountains;x
687;226;126;128;Running;x
688;98;128;192;Kaifeng;x
689;226;130;255;Fengyuan;x
690;98;132;0;Shandong Bandao;x
691;226;134;64;Jinan;x
692;98;136;128;Handan;x
693;227;138;192;Sanguan;x
694;99;140;255;Changzhi;x
695;227;142;0;Beijing;x
696;99;144;64;Xuan Fu;x
697;227;146;128;Datong;x
698;99;148;192;Guyuan;x
699;227;150;255;Lanzhou;x
700;100;152;0;Shaanxi;x
701;228;154;64;Ordos;x
702;100;156;128;Ulaanchab;x
703;228;158;192;Chengde;x
704;100;32;255;Liaoxi;x
705;228;34;0;Dangla;x
706;100;36;64;Amdo;x
707;229;38;128;Yumen;x
708;101;40;192;Gansu;x
709;229;42;255;Ningxia;x
710;101;44;0;Hotan;x
711;229;46;64;Qarqan;x
712;101;48;128;Uighuristan;x
713;229;50;192;Kuruk Tag;x
714;102;52;255;Dzungaria;x
715;230;54;0;Urumqi;x
716;102;56;64;Tannu Tuva;x
717;230;58;128;Selenge;x
718;102;60;192;Govi Altay;x
719;230;62;255;Khangai;x
720;102;64;0;Dorno Govi;x
721;231;66;64;Dornod;x
722;103;68;128;Chahar;x
723;231;70;192;Xilin Gol;x
724;103;72;255;Yakesa;x
725;231;74;0;Hinggan;x
726;103;76;64;Liaodong;x
727;231;78;128;Heilongjiang;x
728;104;80;192;Sanxing;x
729;232;82;255;Wusuli;x
730;104;84;0;Haixi;x
731;232;86;64;Ninguta;x
732;104;88;128;Hamgyeong;x
733;232;90;192;Pyeongan;x
734;104;92;255;Gangwon;x
735;153;134;173;Gyeonggi;x
736;105;96;64;Gyeongsang;x
737;233;98;128;Jeolla;x
738;105;100;192;Taiwan;x
739;233;102;255;Kashgar;x
740;105;104;0;Malwa;x
741;233;106;64;Cumana;x
742;106;108;128;Guayana;x
743;234;110;192;Essequibo;x
744;106;112;255;Demerara;x
745;234;114;0;Suriname;x
746;106;116;64;Cayenne;x
747;234;118;128;Tucujulandia;x
748;106;120;192;Grao Para;x
749;235;122;255;Maranhao;x
750;107;124;0;Alpercatas;x
751;235;126;64;Ceara;x
752;107;128;128;Oeiras;x
753;235;130;192;Rio Grande;x
754;107;132;255;Itamaraca;x
755;235;134;0;Pernambuco;x
756;108;136;64;Bahia;x
757;236;138;128;Ilheus;x
758;108;140;192;Goias;x
759;236;142;255;Diamentina;x
760;108;144;0;Porto Seguro;x
761;236;146;64;Espirito Santo;x
762;108;148;128;Sao Tome;x
763;237;150;192;Rio de Janeiro;x
764;109;152;255;Santo Amaro;x
765;237;154;0;Minas Gerais;x
766;109;156;64;Sao Vicente;x
767;237;158;128;Mato Grosso;x
768;109;32;192;Guayra;x
769;237;34;255;Santana;x
770;110;36;0;Tape;x
771;238;38;64;Patos;x
772;110;40;128;Uruguay;x
773;238;42;192;Banda Oriente;x
774;110;44;255;Mbaracayu;x
775;238;46;0;Xeres;x
776;110;48;64;Itenines;x
777;239;50;128;Parana;x
778;111;52;192;Rio de la Plata;x
779;239;54;255;Serranos;x
780;111;56;0;Tehuelmapu;x
781;239;58;64;Patagonia Oriental;x
782;111;60;128;Tierra del Fuego;x
783;239;62;192;Patagonia Occidental;x
784;112;64;255;Huillimapu;x
785;240;66;0;Pehuenmapu;x
786;112;68;64;Salinas Grande;x
787;240;70;128;Pincunmapu;x
788;112;72;192;Cuyo;x
789;240;74;255;Pampas;x
790;112;76;0;Chaco Austral;x
791;241;78;64;Catamarca;x
792;113;80;128;Copiapo;x
793;241;82;192;Atacama;x
794;113;84;255;Jujuy;x
795;241;86;0;Chichas;x
796;113;88;64;Arica;x
797;241;90;128;Caracara;x
798;114;92;192;Charcas;x
799;242;94;255;Chaco Boreal;x
800;114;96;0;Chiquitos;x
801;242;98;64;Caranga;x
802;114;100;128;Chuquiabo;x
803;242;102;192;Moxos;x
804;114;104;255;Puno;x
805;243;106;0;Arequipa;x
806;115;108;64;Nazca;x
807;243;110;128;Huamanga;x
808;115;112;192;Cuzco;x
809;243;114;255;Lima;x
810;115;116;0;Huancavelica;x
811;243;118;64;Tarma;x
812;116;120;128;Chanchan;x
813;244;122;192;Cajamarca;x
814;116;124;255;Huanuco;x
815;244;126;0;Maynas;x
816;116;128;64;Tumbes;x
817;244;130;128;Cuenca;x
818;116;132;192;Canelos;x
819;245;134;255;Guayaquil;x
820;117;136;0;Quito;x
821;245;138;64;Quijos;x
822;117;140;128;Caqueta;x
823;245;142;192;Cauca;x
824;117;144;255;Mariquita;x
825;245;146;0;Bogota;x
826;118;148;64;Choco;x
827;246;150;128;Antioqu˙};x
828;118;152;192;Cartagena;x
829;246;154;255;Magdalena;x
830;118;156;0;Maracaibo;x
831;246;158;64;Caracas;x
832;118;32;128;Chiancon;x
833;247;34;192;Tunja;x
834;119;36;255;Barinas;x
835;128;34;79;Panama;x
836;0;36;126;Chorotega;x
837;128;38;173;Nicaragua;x
838;0;40;32;Mosquito;x
839;128;42;79;Pipil;x
840;0;44;126;Honduras;x
841;129;46;173;Guatemala;x
842;1;48;32;PetÈn;x
843;129;50;79;Belize;x
844;1;52;126;Zapotec;x
845;129;54;173;Campeche;x
846;1;56;32;Yucatan;x
847;129;58;79;Mixtec;x
848;2;60;126;Tohancapan;x
849;130;62;173;Tlapanec;x
850;2;64;32;Tlaxcala;x
851;130;66;79;Tarasco;x
852;2;68;126;Mexico;x
853;130;70;173;Huastec;x
854;2;72;32;Sayultecas;x
855;131;74;79;Huichol;x
856;3;76;126;Zacatecas;x
857;131;78;173;Guachichil;x
858;3;80;32;Tamaulipas;x
